Sphere_xyz_n_uv.ply									35.0	 	00.0		-15.0		2.0		0.0	 	0.0		0.0		 3.5	17.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									00.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 2.25	14.5	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									05.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 1.75	12.5	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									10.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 1.5	13.0	1.0		0.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									15.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 1.0	12.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									20.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 0.5	11.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									25.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 2.0	14.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									30.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 3.0	16.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									35.0	 	00.0		-20.0		2.0		0.0	 	0.0		0.0		 2.5	15.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									00.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 0.25	10.5	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									05.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 3.5	17.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									10.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 2.25	14.5	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									15.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 1.75	12.5	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									20.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 1.5	13.0	1.0		0.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									25.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 1.0	12.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									30.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 0.5	11.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
Sphere_xyz_n_uv.ply									35.0	 	00.0		-25.0		2.0		0.0	 	0.0		0.0		 2.0	14.0	1.0		1.0		1.0		1.0			0			0.0			0.0			0.0				0		SPHERE		1				0		
			
